,number,q_string
0,1,"ya=-(x-3 +a

In the equation above, a is a constant. The graph of
the equation in the xy-plane is a parabola. Which of
the following is true about the parabola?

A) Its minimum occurs at (—3, a).
B) Its minimum occurs at (3, a).

C) Its maximum occurs at (—3, a).

(
(3,a).

D) Its maximum occurs at
"
1,2,"The maximum value of a data set consisting of

25 positive integers is 84. A new data set consisting
of 26 positive integers is created by including 96 in
the original data set. Which of the following
measures must be 12 greater for the new data set
than for the original data set?

A) The mean

B) The median

C) The range

D) The standard deviation
"
2,3,"0.10x + 0.20y = 0.18(x + y)

Clayton will mix x milliliters of a 10% by mass saline
solution with y milliliters of a 20% by mass saline
solution in order to create an 18% by mass saline
solution. The equation above represents this
situation. If Clayton uses 100 milliliters of the 20% by
mass saline solution, how many milliliters of the 10%
by mass saline solution must he use?

A) 5
B) 25
C) 50
"
3,4,"The first year Eleanor organized a fund-raising event,
she invited 30 people. For each of the next 5 years,
she invited double the number of people she had
invited the previous year. If f(n) is the number of
people invited to the fund-raiser n years after
Eleanor began organizing the event, which of the
following statements best describes the function f ?

A) The function f is a decreasing linear function.
B) The function f is an increasing linear function.

C) The function f is a decreasing exponential
function.

D) The function f is an increasing exponential
function.

"
4,5,"N
re)

x

a

3a

5a

y

0

-a

—2a

Some values of x and their corresponding values of y
the table above, where a is a constant.
If there is a linear relationship between x and y,
‘ollowing equations represents the

are shown in

which of the
relationship?

A) x+2y=a

B) x+2y=5a
C) 2x-y=-5a
D) 2x-y=7a

"
5,6,"Number of people who voted

0
120 140 160 180 200 220 240 260 280 300

Numbe

r of registered voters

The scatterplot above s!

hows the number of registered

voters, x, and the number of people who voted in the

last election, y, for seve’

n districts in a town. A line

of best fit for the data is also shown. Which of the
following could be the equation of the line of best fit?

A) y=-0.5x
B) y=0.5x
C) y=-2x

D) y=2x
"
6,7,"2.4x— 1.5y = 0.3
1.6x + 0.5y =-13

The system of equations above is graphed in the
xy-plane. What is the x-coordinate of the intersection
point (x, y) of the system?

A) -0.5
B) -0.25
Cc) 08

D) 175
"
7,8,"Keith modeled the growth over several hundred
years of a tree population by estimating the number
of the trees’ pollen grains per square centimeter that
were deposited each year within layers of a lake’s
sediment. He estimated there were 310 pollen grains
per square centimeter the first year the grains were
deposited, with a 1% annual increase in the number
of grains per square centimeter thereafter. Which of
the following functions models P(t), the number of
pollen grains per square centimeter t years after the
first year the grains were deposited?

A) P(t) =310°

B) P(t) =310!°!
C) P(t) = 310(0.99)
D) P(t) = 310(1.01)'
"
8,9,"N

= (9x- 6) -4=9x~6

Based on the equation above, what is the value
of 3x-2?

A) -4
4
B) ->
2
©) -5

D) 4
"
9,10,"vv
[-)

F(x) = («+ 3)(x~k)

The function f is defined above. If k is a positive

integer, which of the following could represent the

graph of y = f(x) in the xy-plane?
y

A)

B)

"
10,11,"H = 1.88L + 32.01

The formula above can be used to approximate the
height H, in inches, of an adult male based on the
length L, in inches, of his femur. What is the
meaning of 1.88 in this context?

A)

B)

C)

D)

[he approximate femur length, in inches, for a
man with a height of 32.01 inches

The approximate increase in a man’s femur
length, in inches, for each increase of
32.01 inches in his height

The approximate increase in a man’s femur
length, in inches, for each one-inch increase in
his height

The approximate increase in a man’s height, in
inches, for each one-inch increase in his femur
length

"
11,12,"A D

In quadrilateral ABCD above, AD || BC and
1
CD = 3 AB. What is the measure of angle B ?

A) 150°
B) 135°
C) 120°
D) 90°
"
12,13,"Lynne has $8.00 to spend on apples and oranges.
Apples cost $0.65 each, and oranges cost $0.75 each.
If there is no tax on this purchase and she buys

5 apples, what is the maximum number of whole
oranges she can buy?
"
13,14,"w

v

Note: Figure not drawn to scale.

In the triangle above, a = 34. What is the value of
b+c?

"
14,15,"700, 1200, 1600, 2000, x

If the mean of the five numbers above is 1600, what
is the value of x ?
"
15,16,"The relationship between x and y can be written as
y = mx, where m is a constant. If y = 17 when x = a,
what is the value of y when x = 2a ?
"
16,17,"w
a

a(x+b) =4x+10

In the equation above, a and b are constants. If the
equation has infinitely many solutions for x, what is
the value of b ?
"
17,18,"In the xy-plane, a line that has the equation y = c for
some constant c intersects a parabola at exactly one
point. If the parabola has the equation y = =x? 45x,

what is the value of c ?
"
18,19,"What is a peregrine falcon’s maximum speed while
diving to catch prey, in feet per second? (Round
your answer to the nearest whole number.

1 mile = 5280 feet)

"
19,20,"If a peregrine falcon dove at its maximum speed for
half a mile to catch prey, how many seconds would
the dive take? (Round your answer to the nearest
second.)

"
